lr,num_epochs,unfreeze_epoch,max_length,validation_accuracy,total_time
9.252676403870336e-05,7,5,48000,0.14285714285714285,1023.5034883022308
2.384095707891752e-06,10,4,160000,0.9134920634920635,4500.27704167366
0.0007168152791901445,1,3,80000,0.4719671201814059,183.1559567451477
2.3712675695687124e-06,8,5,32000,0.6989795918367346,957.9628961086273
0.00011777918566993475,5,1,80000,0.14285714285714285,1302.9943640232086
0.00022530577791096343,3,1,160000,0.14285714285714285,1347.310739994049
0.00014783552675813364,3,1,160000,0.14285714285714285,1257.720807313919
0.00017769818972904671,8,4,48000,0.14285714285714285,1185.8360347747803
1.3362784886387827e-05,5,4,32000,0.6369614512471655,485.69374084472656
0.0002454583262946464,2,2,32000,0.3853741496598639,167.96772146224976
4.47684011064441e-06,7,5,80000,0.858985260770975,1271.941302537918
0.00015241148709670355,4,5,160000,0.45657596371882087,1205.410561800003
8.686729255824886e-05,5,4,48000,0.14285714285714285,596.2793581485748
1.398217547692267e-06,1,2,48000,0.25,104.07239174842834
0.00011573499169837836,8,5,64000,0.14285714285714285,1312.1487758159637
9.559627492929343e-06,3,1,160000,0.9290249433106575,1194.5288257598877
1.2941560811272837e-06,9,3,112000,0.7320861678004534,2569.6230540275574
1.3404289457933672e-05,3,2,48000,0.6693027210884354,385.16270899772644
2.3277146617358157e-06,7,0,64000,0.9301587301587302,1519.8299129009247
1.8661277671331698e-05,3,1,32000,0.8992063492063492,365.43343710899353
6.018483977843534e-06,6,0,64000,0.9230158730158731,1355.9899520874023
4.080781005137932e-05,6,0,64000,0.7687641723356009,1289.5902061462402
5.803829881879786e-06,4,0,112000,0.919047619047619,1346.2562975883484
3.0166503921998133e-05,7,0,64000,0.4566609977324263,1505.0714936256409
3.011040146197828e-06,10,1,64000,0.9142857142857144,2436.9404187202454
1.000824692937045e-05,2,0,160000,0.8992063492063492,1037.5908732414246
1.031533917249956e-06,4,1,160000,0.6458049886621315,2069.6802961826324
4.1557479710641594e-05,9,0,64000,0.14285714285714285,2510.7769389152527
4.052155611350373e-06,7,2,112000,0.8901927437641722,2255.90829539299
7.941661562455653e-06,6,1,64000,0.9333333333333333,1501.5588331222534
1.8172460209963304e-06,6,0,64000,0.822562358276644,1529.7403447628021
2.3189908505700528e-05,9,3,64000,0.9603174603174603,1981.091546535492
7.299061855240979e-05,9,2,64000,0.14285714285714285,2508.913119316101
2.171846914443899e-05,10,3,80000,0.984920634920635,2410.297317504883
0.0003905525877580045,10,3,80000,0.14285714285714285,2580.2892169952393
2.840990910236011e-05,9,3,80000,0.969047619047619,2323.214434862137
5.534736824156395e-05,10,3,80000,0.14285714285714285,2527.5510890483856
2.038286917850705e-05,8,4,80000,0.976984126984127,2114.826674222946
0.0009574177253814156,8,4,80000,0.14285714285714285,1627.0986478328705
1.3803650362395961e-05,8,4,80000,0.9517006802721087,1748.0096516609192
0.0003752065889088032,10,4,80000,0.14285714285714285,2235.110885620117
1.874640430336172e-05,8,4,80000,0.9761904761904762,1661.7383451461792
5.090232579255674e-05,9,5,80000,0.14285714285714285,1940.2547266483307
0.0002450355538869565,10,4,80000,0.14285714285714285,2338.1488358974457
7.972944234218363e-05,7,5,32000,0.14285714285714285,742.1162524223328
1.8985050381589815e-05,8,3,80000,0.8976190476190476,2167.5004761219025
6.103862758503286e-05,10,5,48000,0.14285714285714285,1666.4632499217987
3.728007622145366e-06,5,3,112000,0.8429705215419502,1702.979838848114
0.00010391064961823564,9,2,80000,0.14285714285714285,2517.7817273139954
7.205428087020084e-06,8,4,32000,0.9015873015873016,1204.161331653595
