batch_size,lr,num_epochs,unfreeze_epoch,max_length,validation_accuracy,train_time,validation_time,total_time
1,1e-06,1,0,32000,0.4218820861678005,122.84974837303162,3.044637680053711,125.8959584236145
1,1e-06,1,0,48000,0.43449546485260776,130.2395167350769,3.3919453620910645,133.633207321167
1,1e-06,1,0,64000,0.5538832199546485,131.83059000968933,3.8695197105407715,135.70185089111328
1,1e-06,1,0,80000,0.39104308390022674,140.73144721984863,4.16877818107605,144.9020631313324
1,1e-06,1,0,112000,0.5757086167800454,185.28348445892334,5.798255443572998,191.0837697982788
1,1e-06,1,0,160000,0.4900226757369614,207.26050782203674,7.503986835479736,214.76667261123657
1,1e-06,1,1,32000,0.13809523809523808,52.46568059921265,2.703399419784546,55.173508167266846
1,1e-06,1,1,48000,0.023809523809523808,59.035417795181274,3.3263702392578125,62.36258625984192
1,1e-06,1,1,64000,0.11031746031746033,69.83673691749573,3.6171703338623047,73.45475316047668
1,1e-06,1,1,80000,0.08253968253968254,72.90907287597656,4.145146131515503,77.05505108833313
1,1e-06,1,1,112000,0.1992063492063492,94.89760565757751,5.131705284118652,100.030113697052
1,1e-06,1,1,160000,0.10317460317460317,116.54549813270569,6.636003494262695,123.18230724334717
1,1e-06,3,0,32000,0.4854875283446712,313.8433406352997,8.127004384994507,321.9736111164093
1,1e-06,3,0,48000,0.6356009070294785,369.63685297966003,10.298505067825317,379.93879652023315
1,1e-06,3,0,64000,0.5505668934240362,394.5135703086853,12.690049886703491,407.20690512657166
1,1e-06,3,0,80000,0.6351757369614512,412.6595227718353,12.901791095733643,425.5646240711212
1,1e-06,3,0,112000,0.5300453514739228,559.5655002593994,17.110175609588623,576.6788399219513
1,1e-06,3,0,160000,0.6688208616780046,595.7831773757935,21.15166473388672,616.9381420612335
1,1e-06,3,1,32000,0.4611111111111111,268.5272898674011,10.415250539779663,278.9457447528839
1,1e-06,3,1,48000,0.6302721088435373,291.8915903568268,9.892633438110352,301.78735089302063
1,1e-06,3,1,64000,0.5918367346938774,342.33035373687744,11.83597207069397,354.1701464653015
1,1e-06,3,1,80000,0.5041950113378685,351.01051783561707,12.810338020324707,363.824419260025
1,1e-06,3,1,112000,0.6342120181405895,422.98999857902527,15.49106502532959,438.48443603515625
1,1e-06,3,1,160000,0.568140589569161,529.6571869850159,23.86128306388855,553.5222821235657
1,1e-06,3,2,32000,0.35413832199546486,210.78693795204163,8.433680534362793,219.2239806652069
1,1e-06,3,2,48000,0.36318027210884346,240.77190971374512,10.01737117767334,250.79259300231934
1,1e-06,3,2,64000,0.5290816326530612,272.30004382133484,11.220785140991211,283.5243306159973
1,1e-06,3,2,80000,0.5534013605442177,309.2836079597473,12.770925760269165,322.6620047092438
1,1e-06,3,2,112000,0.5881235827664398,377.3994858264923,16.159618139266968,393.5623903274536
1,1e-06,3,2,160000,0.4808390022675737,456.40379548072815,22.21583342552185,478.6231837272644
1,1e-06,3,3,32000,0.1142857142857143,160.65004134178162,8.46324348449707,169.11552238464355
1,1e-06,3,3,48000,0.24404761904761904,183.01778078079224,10.250760555267334,193.2707645893097
1,1e-06,3,3,64000,0.1978174603174603,219.14477968215942,11.886901378631592,231.03389620780945
1,1e-06,3,3,80000,0.2069160997732426,234.57424926757812,17.12566041946411,251.7023708820343
1,1e-06,3,3,112000,0.05317460317460317,297.18258810043335,15.897737979888916,313.0826880931854
1,1e-06,3,3,160000,0.12244897959183673,365.894469499588,20.754140377044678,386.6511199474335
1,1e-06,5,0,32000,0.5229024943310657,559.6126365661621,14.097479343414307,573.715304851532
1,1e-06,5,0,48000,0.6589569160997731,575.3320140838623,16.996803998947144,592.3334879875183
1,1e-06,5,0,64000,0.7157596371882086,656.0555539131165,20.023678064346313,676.084376335144
1,1e-06,5,0,80000,0.4875283446712019,680.4285418987274,22.97630524635315,703.4100542068481
1,1e-06,5,0,112000,0.7404761904761905,831.2461941242218,26.654605388641357,857.9062271118164
1,1e-06,5,0,160000,0.6807256235827664,1016.40025639534,38.01687479019165,1054.422845363617
1,1e-06,5,1,32000,0.6186791383219955,495.7179956436157,14.224093198776245,509.9469470977783
1,1e-06,5,1,48000,0.6215419501133788,547.9205276966095,16.67012619972229,564.5956900119781
1,1e-06,5,1,64000,0.6331065759637189,604.6031141281128,19.348311185836792,623.9562909603119
1,1e-06,5,1,80000,0.6821995464852607,657.6504828929901,22.355003356933594,680.010968208313
1,1e-06,5,1,112000,0.5577097505668934,765.6585245132446,26.91204571723938,792.576667547226
1,1e-06,5,1,160000,0.6441043083900228,949.9722967147827,39.07644200325012,989.0543124675751
1,1e-06,5,2,32000,0.5919501133786849,428.13608503341675,13.994620084762573,442.1360173225403
1,1e-06,5,2,48000,0.5357142857142857,479.358802318573,18.218874216079712,497.5827491283417
1,1e-06,5,2,64000,0.5793650793650793,562.1988985538483,19.67062997817993,581.8746523857117
1,1e-06,5,2,80000,0.7230442176870747,575.638356924057,21.78255295753479,597.4258923530579
1,1e-06,5,2,112000,0.7218820861678006,750.2611215114594,28.686461448669434,778.9533455371857
1,1e-06,5,2,160000,0.7015589569160997,838.9237382411957,35.97361969947815,874.902753829956
1,1e-06,5,3,32000,0.3948979591836735,364.1141736507416,13.896334886550903,378.01562428474426
1,1e-06,5,3,48000,0.5869614512471655,405.0844497680664,16.92293643951416,422.0125799179077
1,1e-06,5,3,64000,0.5569160997732426,482.77539014816284,18.85792374610901,501.63853573799133
1,1e-06,5,3,80000,0.4540816326530612,501.25734877586365,21.778666734695435,523.0407693386078
