batch_size,lr,num_epochs,unfreeze_epoch,max_length,validation_accuracy,train_time,validation_time,total_time
1,1e-06,1,0,32000,0.5420560747663551,118.49832677841187,2.7393383979797363,121.2392737865448
1,1e-06,1,0,48000,0.3925233644859813,117.43805384635925,3.4225075244903564,120.86260604858398
1,1e-06,1,0,64000,0.48598130841121495,138.93119311332703,4.083892107009888,143.01678919792175
1,1e-06,1,0,80000,0.40186915887850466,131.68938159942627,4.494667291641235,136.1858673095703
1,1e-06,1,0,112000,0.514018691588785,197.15124225616455,5.770107269287109,202.9231207370758
1,1e-06,1,0,160000,0.4953271028037383,207.6968479156494,7.382272005081177,215.08131170272827
1,1e-06,1,1,32000,0.07476635514018691,52.16819095611572,2.5987660884857178,54.767817735672
1,1e-06,1,1,48000,0.2523364485981308,57.25731444358826,3.8944971561431885,61.152864933013916
1,1e-06,1,1,64000,0.1588785046728972,67.43663358688354,3.620229721069336,71.05768203735352
1,1e-06,1,1,80000,0.06542056074766354,80.51977276802063,4.175609350204468,84.69624209403992
1,1e-06,1,1,112000,0.14018691588785046,95.58503770828247,5.2450270652771,100.83087873458862
1,1e-06,1,1,160000,0.07476635514018691,115.59775280952454,6.433913707733154,122.03249955177307
1,1e-06,3,0,32000,0.45794392523364486,325.823260307312,8.365850925445557,334.19278168678284
1,1e-06,3,0,48000,0.6635514018691588,382.7684075832367,10.580148458480835,393.3519825935364
1,1e-06,3,0,64000,0.6728971962616822,412.2812166213989,12.664271116256714,424.94937324523926
1,1e-06,3,0,80000,0.5887850467289719,418.29742550849915,13.624760389328003,431.925656080246
1,1e-06,3,0,112000,0.6728971962616822,539.8609519004822,16.343544960021973,556.2080352306366
1,1e-06,3,0,160000,0.6355140186915887,604.8984661102295,22.255333423614502,627.1584479808807
1,1e-06,3,1,32000,0.514018691588785,275.3929297924042,8.605930089950562,284.0021228790283
1,1e-06,3,1,48000,0.5607476635514018,309.39455485343933,10.430012941360474,319.82820081710815
1,1e-06,3,1,64000,0.5420560747663551,342.33995509147644,11.743841648101807,354.08719635009766
1,1e-06,3,1,80000,0.5794392523364486,359.9896740913391,13.59655213356018,373.58977127075195
1,1e-06,3,1,112000,0.4485981308411215,452.2766635417938,18.536133289337158,470.81655716896057
1,1e-06,3,1,160000,0.514018691588785,539.8222198486328,21.93094539642334,561.7576761245728
1,1e-06,3,2,32000,0.4766355140186916,215.02032995224,8.409135818481445,223.43300342559814
1,1e-06,3,2,48000,0.4672897196261682,242.675199508667,10.211917400360107,252.89041209220886
1,1e-06,3,2,64000,0.3925233644859813,285.580317735672,12.040354013442993,297.6240541934967
1,1e-06,3,2,80000,0.4485981308411215,298.37480330467224,13.492324590682983,311.8706579208374
1,1e-06,3,2,112000,0.5327102803738317,375.8533115386963,16.854433059692383,392.71108865737915
1,1e-06,3,2,160000,0.514018691588785,447.12202858924866,20.881171941757202,468.0071711540222
1,1e-06,3,3,32000,0.06542056074766354,158.35150384902954,8.048982620239258,166.4031708240509
1,1e-06,3,3,48000,0.14018691588785046,178.9157257080078,10.154098272323608,189.07204508781433
1,1e-06,3,3,64000,0.12149532710280374,217.37885069847107,11.386537075042725,228.767591714859
1,1e-06,3,3,80000,0.19626168224299065,229.21987581253052,12.690629005432129,241.91269731521606
1,1e-06,3,3,112000,0.21495327102803738,297.7552058696747,15.957889080047607,313.71542835235596
1,1e-06,3,3,160000,0.22429906542056074,358.2011797428131,20.114771842956543,378.3185429573059
1,1e-06,5,0,32000,0.6074766355140186,589.5256683826447,13.988959550857544,603.5197155475616
1,1e-06,5,0,48000,0.5607476635514018,598.5154783725739,17.679038763046265,616.2000033855438
