lr,num_epochs,unfreeze_epoch,max_length,validation_accuracy,total_time
8.754067730951298e-06,8,4,64000,0.7070294784580499,1129.378784418106
3.0885447303609847e-06,4,5,32000,0.15178571428571427,224.47031831741333
4.014195175033938e-05,5,4,80000,0.2928571428571428,637.8586492538452
1.8300073304900006e-05,5,1,32000,0.7873299319727892,527.9875221252441
1.4764186915147893e-05,5,5,32000,0.1875,281.5287501811981
3.7603697210664114e-06,6,2,64000,0.5048469387755102,917.5605847835541
6.654784438755216e-05,4,0,48000,0.14285714285714285,584.4420561790466
3.2336322670733036e-06,3,5,80000,0.060090702947845805,335.1879014968872
1.3464725219041243e-05,2,4,80000,0.08049886621315193,223.42639303207397
1.2043782172410066e-06,9,4,32000,0.31984126984126987,816.3083617687225
1.1193682489959207e-05,5,3,32000,0.5375566893424036,405.36957573890686
9.105297242169546e-05,7,5,32000,0.5231009070294784,520.5725541114807
6.270290162245525e-05,8,1,80000,0.8908163265306123,1501.7903673648834
5.446146372513029e-06,1,2,48000,0.1577380952380952,79.16275072097778
9.014743314328647e-05,7,0,32000,0.14285714285714285,807.6865673065186
2.057215754601704e-06,9,2,64000,0.4507653061224489,1394.9414064884186
2.288283278627537e-05,3,3,64000,0.1288265306122449,297.001300573349
2.3321033747882313e-06,5,1,48000,0.35178571428571426,651.1789581775665
2.847708334908633e-06,10,4,48000,0.4770975056689343,1190.1916942596436
2.7950534888275325e-06,9,2,32000,0.5054705215419502,931.4725053310394
3.706308152245364e-05,7,1,80000,0.8619331065759638,1286.2945129871368
4.20213153134161e-05,7,1,80000,0.8986394557823129,1331.7417323589325
5.044227709611078e-05,8,0,80000,0.25396825396825395,1598.085702419281
2.5409088938341945e-05,10,1,80000,0.9264172335600908,1964.1354455947876
2.932433402151796e-05,6,1,80000,0.8859410430839002,1140.5516030788422
2.4784481047826395e-05,10,0,80000,0.9270975056689342,2066.7136054039
7.855687965022532e-06,10,0,80000,0.9199546485260771,2057.6228771209717
2.3614385164632052e-05,10,0,80000,0.926984126984127,2037.0243558883667
9.450792364505222e-06,9,0,80000,0.8954648526077097,1854.0063846111298
6.76524320853285e-06,10,0,80000,0.8780045351473922,2056.9783415794373
1.8341628573683906e-05,8,3,64000,0.9111111111111111,1712.210797548294
2.9558006034753782e-05,8,0,80000,0.930952380952381,1938.7024800777435
3.247091710394556e-05,8,0,80000,0.927891156462585,2033.9847638607025
6.399446499833977e-05,8,1,80000,0.552749433106576,1614.0255568027496
3.467891268349515e-05,6,2,64000,0.8587301587301587,881.8297908306122
1.511253040815756e-05,9,0,48000,0.9184807256235828,1302.9647207260132
8.116627161454699e-05,6,1,80000,0.26785714285714285,1107.8229367733002
4.944277352340553e-06,4,3,80000,0.3125,560.3360919952393
4.5407297079476966e-05,8,0,64000,0.890702947845805,1529.8893747329712
1.8813224200814704e-05,7,2,80000,0.8634920634920634,1235.4089186191559
1.2589159996211535e-05,4,1,48000,0.7669217687074831,600.6007335186005
3.103238859706983e-05,9,5,80000,0.9031746031746032,1404.7194848060608
5.497535298625698e-05,6,0,32000,0.77562358276644,788.0145120620728
7.09434241545709e-05,8,2,80000,0.17460317460317462,1471.836077928543
1.0862824244084607e-06,7,4,48000,0.1577380952380952,882.0621666908264
1.572497861463308e-05,3,1,32000,0.6858560090702948,330.7151927947998
9.73006628875812e-05,1,0,64000,0.14285714285714285,188.30090594291687
1.0633805452641934e-05,5,3,80000,0.6384353741496598,769.6444745063782
1.6092026491197346e-06,8,2,80000,0.3535714285714286,1532.5751452445984
2.0483633021623604e-05,9,1,32000,0.8707766439909296,1054.6138215065002
