trial_number,lr,num_epochs,unfreeze_epoch,max_length,validation_accuracy,total_time
5,5.7879206930497984e-06,1,0,160000,0.616822429906542,451.1349790096283
6,1.467098061189607e-06,10,4,64000,0.8411214953271028,1866.806884765625
7,0.00015151354520002264,5,2,80000,0.16822429906542055,1054.1516790390015
8,0.000579903738604165,6,3,64000,0.14953271028037382,1068.7495851516724
9,5.603407421105816e-05,5,3,32000,0.16822429906542055,537.8487555980682
10,0.001,2,2,32000,0.4672897196261682,160.09461092948914
11,0.001,7,2,32000,0.16822429906542055,902.3435637950897
12,2.9308084518272018e-05,4,4,64000,0.4485981308411215,540.6991074085236
13,0.00022692451769296178,5,5,32000,0.5046728971962616,400.7298004627228
14,0.00021102962077960462,5,2,32000,0.14953271028037382,605.5204765796661
15,0.001,6,2,32000,0.16822429906542055,755.9380869865417
16,1e-06,1,4,64000,0.18691588785046728,135.40172290802002
17,4.898846296687312e-05,7,2,32000,0.16822429906542055,884.4012935161591
18,6.513764686931221e-05,7,3,160000,0.16822429906542055,2705.3043053150177
19,1e-06,3,4,160000,0.21495327102803738,919.015722990036
20,0.001,2,4,160000,0.6074766355140186,612.4841148853302
21,0.00017541532140956902,6,2,32000,0.16822429906542055,744.9434449672699
22,1e-06,4,2,32000,0.5046728971962616,452.02757716178894
23,0.0002464939292398334,7,2,160000,0.16822429906542055,2862.452564716339
24,0.0007808193963689886,2,3,160000,0.5700934579439252,616.9784772396088
25,0.00012220125784476803,6,3,32000,0.16822429906542055,682.519246339798
26,1e-06,5,3,160000,0.5794392523364486,1831.6504595279694
27,0.00019527599516674804,6,3,160000,0.16822429906542055,2261.8677825927734
28,1e-06,1,5,32000,0.24299065420560748,80.7458016872406
29,1e-06,4,5,160000,0.2897196261682243,1233.7968735694885
30,0.00020732616951699373,7,3,32000,0.16822429906542055,820.6219384670258
31,4.58070875839429e-06,1,4,160000,0.18691588785046728,307.5143575668335
32,2.055590828473008e-06,10,2,32000,0.8317757009345794,1328.9918894767761
33,4.0442246737680475e-05,5,2,32000,0.38317757009345793,600.065575838089
34,5.032365639694144e-05,10,2,32000,0.8411214953271028,1338.2059409618378
35,0.001,4,2,160000,0.18691588785046728,1518.658010005951
36,0.00041731821609143697,5,3,32000,0.14953271028037382,537.7409608364105
37,0.0005461792458386853,5,2,160000,0.16822429906542055,1965.554434299469
38,1.9150117329053127e-06,2,4,32000,0.22429906542056074,161.96078944206238
39,1.3170840697477702e-06,1,3,160000,0.1588785046728972,308.87384605407715
40,4.580113125307489e-06,2,3,160000,0.34579439252336447,617.7297177314758
41,1e-06,1,2,112000,0.1308411214953271,216.09709763526917
42,4.871466203823571e-06,2,5,160000,0.2616822429906542,619.3488066196442
43,4.749986881763202e-06,1,2,32000,0.18691588785046728,81.26011061668396
44,1e-06,2,2,32000,0.2897196261682243,163.17179703712463
45,0.001,8,5,160000,0.16822429906542055,2883.752594947815
46,0.001,8,4,160000,0.16822429906542055,3038.191290140152
47,0.001,9,5,32000,0.16822429906542055,990.2973234653473
48,0.001,9,4,160000,0.16822429906542055,3482.2642974853516
49,0.0001327683243013073,8,5,32000,0.14953271028037382,843.8388040065765
