lr,num_epochs,unfreeze_epoch,max_length,validation_accuracy,total_time
2.1451197631536917e-05,5,4,80000,0.719626168224299,893.1842212677002
1.0629777153500903e-06,4,3,64000,0.5700934579439252,646.6770234107971
0.00015328983246724645,3,3,64000,0.48598130841121495,418.8286237716675
1.5918410015342147e-06,9,4,32000,0.6448598130841121,1100.7575199604034
3.882649592562549e-06,7,0,160000,0.9158878504672897,3340.888706922531
0.0009663762134316895,5,2,48000,0.18691588785046728,736.2200810909271
0.0004274208516581732,10,3,64000,0.16822429906542055,1882.6042804718018
2.715742156644075e-06,6,2,32000,0.7383177570093458,728.3468072414398
0.00022053982041433435,8,2,80000,0.16822429906542055,1784.4287774562836
4.376678402055963e-05,5,0,160000,0.37383177570093457,2199.3222830295563
2.8628776282045495e-05,7,4,64000,0.5514018691588785,1160.1478078365326
7.591415872890585e-06,7,5,112000,0.8504672897196262,1714.0088176727295
1.8037281383018662e-05,5,1,80000,0.9439252336448598,1129.3328878879547
0.00033279841356090246,4,5,32000,0.5420560747663551,315.801780462265
2.05207776250343e-06,4,3,160000,0.6074766355140186,1344.8085508346558
4.3851058008812385e-05,7,3,32000,0.2523364485981308,814.5836703777313
2.0612448382421485e-05,2,1,64000,0.5046728971962616,348.9272859096527
7.423161570559103e-05,2,2,32000,0.40186915887850466,156.57580137252808
0.0001439384036527253,8,3,32000,0.16822429906542055,962.5550186634064
2.3180997751334518e-06,10,4,64000,0.8037383177570093,1830.4826526641846
7.73359297909324e-06,6,0,80000,0.9626168224299065,1448.3829033374786
6.714105114421228e-06,6,1,80000,0.8878504672897196,1367.2602050304413
1.0681577507645907e-05,3,1,80000,0.897196261682243,640.7510666847229
1.2247015938550184e-05,6,0,80000,0.9719626168224299,1460.4807257652283
4.7036813924953065e-06,8,0,112000,0.897196261682243,2565.857791185379
1.2068852163601784e-05,6,0,48000,0.9439252336448598,1061.5418055057526
1.1592466244162205e-06,6,0,80000,0.6448598130841121,1449.748394727707
7.190889177881074e-05,9,1,80000,0.16822429906542055,2123.1756298542023
1.513035429487046e-05,3,1,80000,0.8878504672897196,646.9270679950714
4.59514470429263e-06,5,0,80000,0.9158878504672897,1227.489884853363
8.96043421338227e-06,1,0,112000,0.7009345794392523,323.82380843162537
3.5595959073710214e-05,4,1,48000,0.9065420560747663,656.8572685718536
3.325105062128689e-06,9,0,80000,0.9065420560747663,2205.9165711402893
1.0663850142093719e-06,7,2,80000,0.7009345794392523,1524.7334866523743
7.163512581261284e-05,8,1,160000,0.16822429906542055,3447.34295296669
2.5668448920878006e-05,4,0,80000,0.9345794392523364,970.687025308609
5.430134963959872e-06,6,0,48000,0.9252336448598131,1074.738018989563
1.382724289688776e-06,9,4,80000,0.7383177570093458,1844.2760217189789
0.00013979149030444115,5,2,112000,0.16822429906542055,1401.500471830368
1.2211992842747027e-05,7,1,160000,0.9158878504672897,2963.883583545685
1.7030423833897033e-06,8,0,80000,0.8317757009345794,1966.7099301815033
5.233263689483161e-05,5,2,48000,0.16822429906542055,757.5054974555969
3.1309067574564997e-06,6,1,64000,0.8691588785046729,1221.9841856956482
0.0005543956287977988,2,0,80000,0.16822429906542055,493.41852593421936
6.3334085444940555e-06,3,4,112000,0.24299065420560748,646.2832446098328
0.0001008272707510089,4,2,160000,0.16822429906542055,1503.6455900669098
2.443542087054129e-05,10,5,80000,0.9532710280373832,2004.0138504505157
0.00021450822615574,7,3,32000,0.16822429906542055,822.0846040248871
3.5760104272627855e-05,7,1,64000,0.3644859813084112,1411.6551699638367
1.7154208509864426e-05,4,0,80000,0.9345794392523364,963.7513747215271
